participantId,accountId,currentAccountId,currentPlatformId,matchHistoryUri,platformId,summonerId,summonerName,gameId
2,5b4bxvq_8GR16lJRhsgxg2vYWd4HRqwVeF9sND2hPTX63AI,5b4bxvq_8GR16lJRhsgxg2vYWd4HRqwVeF9sND2hPTX63AI,BR1,/v1/stats/player_history/BR1/201486972,BR1,3s19ZY4o_7j9LViJB3SBSoOe56HRftYoOhEqR-aWKjaeAA,jungsun,1477536824
3,8HPkFAh6GxukWy6W8CxGgJORzjfLOBZK7RZ4Xj9C6Iz_O58,8HPkFAh6GxukWy6W8CxGgJORzjfLOBZK7RZ4Xj9C6Iz_O58,BR1,/v1/stats/player_history/BR1/219595242,BR1,HEdzKbH2QRWRMxPqoHatzVWkLYC4ux7fEtT0wS_2SUGuGXM,sushi birthdays,1477536824
4,NKkSQQjQpDdvbgwnPna8-O4y8jcXdOHfywnjdM0zBMGXOLI,NKkSQQjQpDdvbgwnPna8-O4y8jcXdOHfywnjdM0zBMGXOLI,BR1,/v1/stats/player_history/BR1/200549381,BR1,WzhlVVmCb7gNhvs741VOSlXPSwIZCptU_-TsVnfigBBtCA,x3 hewwooo,1477536824
5,8r9y_rliCnPclt4cPL325WQ-IeT0FQ1JfGEne7hAxjHJ8_E,8r9y_rliCnPclt4cPL325WQ-IeT0FQ1JfGEne7hAxjHJ8_E,BR1,/v1/stats/player_history/BR1/219343389,BR1,hHCdMAgDFIlC02-nmOyqZWDHt5YqRgiUK7qDGmcGGYeYrv8,SUPPORT 2v8,1477536824
6,RHet30pyeqEBr97wMU5hOc_aQeT_13LGMBj1MuuJsJ0IPWk,I2F96foNTA6TUhVHmlAU87NrCJ1LovOrvBO4YSmp_0lWhYI,BR1,/v1/stats/player_history/EUW1/209903039,EUW1,3LkydK-fRut7nmQykVTjHELFn8-tUmKOaIjvFQfxkwCFwcM,RSL TutsTutsz,1477536824
7,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,BR1,/v1/stats/player_history/BR1/1194077,BR1,W_uqhCkGhqQPKpYbumtjpo76dGOLb2dM410GwvoSvD__IA,4LaN,1477536824
8,OPYFpBFXtz6WMR5xtNFmK6nNQkTdxktoIa-jDu8wqJjw,OPYFpBFXtz6WMR5xtNFmK6nNQkTdxktoIa-jDu8wqJjw,BR1,/v1/stats/player_history/BR1/1614977,BR1,vGtl4v7rYkCLfkd0cEO3szMCpK06w-kOg-SX5FXBmes58w,4bsolut NGDA,1477536824
9,gl001vcdEG5YuJ7r3Z3WKOxoaSHFPPpqLzDQSldBU3db9aU,gl001vcdEG5YuJ7r3Z3WKOxoaSHFPPpqLzDQSldBU3db9aU,BR1,/v1/stats/player_history/BR1/201621393,BR1,HaAEAGC1BjydJ7ov-eoudDM5SW5q5BuHa6hP96xRMA0Xew,Barry1,1477536824
10,j4cbo1RTdiZWCDhTn75rIdyFveSLNw0pHtXCYYSDTr6NifU,j4cbo1RTdiZWCDhTn75rIdyFveSLNw0pHtXCYYSDTr6NifU,BR1,/v1/stats/player_history/BR1/216132395,BR1,4hM_WvRQ5ndJilTq0OkB_jhGYcTnHc4GAXRCUCzn-zBPPEU,Enrique xPeke,1477536824
1,i4rNM69VBb4jOhfhfkBmj1VN4HaE6OfHFTPXrELCxd5HqEA,i4rNM69VBb4jOhfhfkBmj1VN4HaE6OfHFTPXrELCxd5HqEA,BR1,/v1/stats/player_history/BR1/205937016,BR1,0ag1KpQfyvUPmO9fAyMggthRqtXvFQZaX2tNbSvLM_yqvw,Frumskcalbi,1477559304
2,rAFjGL7zwqqs4S85jFza6PEq6smcRndng6uuEZGs8pxMxg,2nznYMOeltdXRXQT5N7AOIp39UVouZAGM2hUmV4elJ4,BR1,/v1/stats/player_history/NA1/46217841,NA1,YsynFyhObg8LFQ3erbiBB8-RLrjXCNTR6mUOlDVqA4Gy,MADKING1,1477559304
3,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,BR1,/v1/stats/player_history/BR1/1194077,BR1,W_uqhCkGhqQPKpYbumtjpo76dGOLb2dM410GwvoSvD__IA,4LaN,1477559304
4,OPYFpBFXtz6WMR5xtNFmK6nNQkTdxktoIa-jDu8wqJjw,OPYFpBFXtz6WMR5xtNFmK6nNQkTdxktoIa-jDu8wqJjw,BR1,/v1/stats/player_history/BR1/1614977,BR1,vGtl4v7rYkCLfkd0cEO3szMCpK06w-kOg-SX5FXBmes58w,4bsolut NGDA,1477559304
5,fc0KGALbWmXeN2wonUvBXd0J_aSu-OdBEzX6h5Zsvpwg_WQ,fc0KGALbWmXeN2wonUvBXd0J_aSu-OdBEzX6h5Zsvpwg_WQ,BR1,/v1/stats/player_history/BR1/200282530,BR1,uieiAvv1XSjpoJqH9YfGbOR0u2mTKzegbMTbgWcyEgztHQ,BeBenJ,1477559304
6,5nJPV3F0HL3WedMjaGVOx9NBWd4PaAzFX2KAzC04lFdZew,OSGFhy-Mil1kY50ah2VX4EDnqU10Msl7obdCOOCUTFY,BR1,/v1/stats/player_history/NA1/48520324,NA1,I8L4iLdF90Heb8E12eIVZ2zrBdj0tPDApRtn7LcTqbVq,ACE ON FIRE,1477559304
7,IaSBb056PIvKZZA5UylQlO01H6VysEWNZ6KazaCyPyssxkM,IaSBb056PIvKZZA5UylQlO01H6VysEWNZ6KazaCyPyssxkM,BR1,/v1/stats/player_history/BR1/213020220,BR1,Vs3eDcK2xTcCTuI5kIPzziemgBLZfE-Hu2DJOfAnvUkbmjU,to fazendo nd ne,1477559304
8,zWW9PQGZV_J6OvGAlACoIkUG0D0EppMO9-EDwWWhv90,zWW9PQGZV_J6OvGAlACoIkUG0D0EppMO9-EDwWWhv90,BR1,/v1/stats/player_history/BR1/348747,BR1,PxSUHRfFqXb5EaHQ7YnXVEqpVKEMVViTkxt4_KrR-kcp,jeonggeul,1477559304
9,NKkSQQjQpDdvbgwnPna8-O4y8jcXdOHfywnjdM0zBMGXOLI,NKkSQQjQpDdvbgwnPna8-O4y8jcXdOHfywnjdM0zBMGXOLI,BR1,/v1/stats/player_history/BR1/200549381,BR1,WzhlVVmCb7gNhvs741VOSlXPSwIZCptU_-TsVnfigBBtCA,x3 hewwooo,1477559304
10,8r9y_rliCnPclt4cPL325WQ-IeT0FQ1JfGEne7hAxjHJ8_E,8r9y_rliCnPclt4cPL325WQ-IeT0FQ1JfGEne7hAxjHJ8_E,BR1,/v1/stats/player_history/BR1/219343389,BR1,hHCdMAgDFIlC02-nmOyqZWDHt5YqRgiUK7qDGmcGGYeYrv8,SUPPORT 2v8,1477559304
1,g7RVa1tR9TizWnkW_AvWtF5evKVtVhK5ZurtFfANb302Xw,Qph8qd5ukcZoDX0G2sSz1uJC4LDPgSxExzxVXc4tY_8,BR1,/v1/stats/player_history/NA/37506187,NA,f_E7JcelKfEMFZ8oE2ruH0nC8HhUD4zFLngdJUW48V48,Archangel Xem,1477645433
2,pPf-jWKUg9CVQ16BhStteTLpGDkeW139QOf_JWtwHhUig_I,pPf-jWKUg9CVQ16BhStteTLpGDkeW139QOf_JWtwHhUig_I,BR1,/v1/stats/player_history/BR1/200108625,BR1,Ipug7u3Xk2hq4bxl5w7jObh4yuv2UbbcdU2QMGJFlGD7IQ,FORGIVENGRE,1477645433
3,cfDJfaXQTEqCeoIe5ik4rhQ-WSSOpKlwwQo5UH0q8gc79Q,Ck9lzgWZg9ir7PVlGWPBRDKznE1THGLSqZdDN_LMH8pZ,BR1,/v1/stats/player_history/NA1/45173484,NA1,DPKSwhVT5AP8DGVPO3MXucfU2bDPk9CNyqp9b1W6LqNvsw,Jukes,1477645433
4,ViwJ0BdThrrcDg1Ic0QZJuiqk1BBnnBknwSBZK9WKHQexHk,ViwJ0BdThrrcDg1Ic0QZJuiqk1BBnnBknwSBZK9WKHQexHk,BR1,/v1/stats/player_history/BR1/200926960,BR1,dyGfpjOXHdchdvGGAnfgMuR0R4VKirnytYdF4kFBtPhhQg,vai Ari,1477645433
5,RuYadr7ynEIP6yBn32g8W633t8Z8ogDEz9Yy0eGMZKnhFw,gm6M5k9UZieK-NPA_jndjutOEtTEg4XLTjTnzQqoITM,BR1,/v1/stats/player_history/NA/36703938,NA,AhIgUZSrXhh0QsBX9blkBBa_FEc47VgTzU_t2aHBxh4D,KBM Atlanta,1477645433
6,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,BR1,/v1/stats/player_history/BR1/1194077,BR1,W_uqhCkGhqQPKpYbumtjpo76dGOLb2dM410GwvoSvD__IA,4LaN,1477645433
7,71LzJSmj-Ymti-_CrgYlR7laclexN3bRSqAz_oR9D0F_ofs,71LzJSmj-Ymti-_CrgYlR7laclexN3bRSqAz_oR9D0F_ofs,BR1,/v1/stats/player_history/BR1/202648015,BR1,PviIdiOKdAZi9lTkKtqJbcGGxFY_tIGtZ3wRbkkkOp2IfQ,procuro duo fiel,1477645433
8,1VOJOJnc-P86MBZCS2wOeJpiAaP7TwIJ_Rf4sNWf9CU-34o,1VOJOJnc-P86MBZCS2wOeJpiAaP7TwIJ_Rf4sNWf9CU-34o,BR1,/v1/stats/player_history/BR1/201653515,BR1,Jhum6HqBM02NjRrFox7P-M_DdMywMOAxrMj0tPusa0Gszw,Caio de Elo,1477645433
9,tvmFWnS-J6iO_s0uOBGGifCMYwRn_Y1n1r_GGG2Yv3XP,tvmFWnS-J6iO_s0uOBGGifCMYwRn_Y1n1r_GGG2Yv3XP,BR1,/v1/stats/player_history/BR1/1087916,BR1,gryS_JEgd3m9B1O5gIh3Prs_EZPIK4_wXReAiOZi552PfQ,Oliver Tsubasa,1477645433
10,JgtkG8o2ctqd69R4SJak8R1GlcSgd2IA5MaeqcYl-bOekw,na9HWc_BfCV2Sax48oTzho0PkYnn6CHmZhe9FZ14hbc,BR1,/v1/stats/player_history/NA/35529466,NA,5ms3iYGqwasGexxtMaFqgQFrbAtx_yIbcwhLFQzWPS2z,PNG Grevthar,1477645433
1,6HH3anGvOmz40BR62Wx2lG2Bl5pxCjcVfqXVvEWd6V1_XPE,6HH3anGvOmz40BR62Wx2lG2Bl5pxCjcVfqXVvEWd6V1_XPE,BR1,/v1/stats/player_history/BR1/205898368,BR1,-OAiMjuFR2IXv0_3QEHWYr1gK4tUXWdSzFTDcAntB3d55w,LawHack,1477692509
2,YTlHEi9XD6ueqzHPrULykLhMrbwCaTHuq_9BCmBCDsnfiQ,Ka_Ynu9UXID0pqx14L5G_D6j7dYDosyexw970qZ_cRI,BR1,/v1/stats/player_history/NA/32046992,NA,Ob0kl91dZl-5gvA2wYtOCyzrglKCNxs2Vvs6E6dQRDVc,Scavange,1477692509
3,1VOJOJnc-P86MBZCS2wOeJpiAaP7TwIJ_Rf4sNWf9CU-34o,1VOJOJnc-P86MBZCS2wOeJpiAaP7TwIJ_Rf4sNWf9CU-34o,BR1,/v1/stats/player_history/BR1/201653515,BR1,Jhum6HqBM02NjRrFox7P-M_DdMywMOAxrMj0tPusa0Gszw,Caio de Elo,1477692509
4,oBzQiyfRltFZK7YvKI7sEPMDGAe-C86xZCbYi46WWWESqA,-FxeICOphb6ieD_nyYkhXJDngFn-wBG_zJhWicTYWb8,BR1,/v1/stats/player_history/NA/39136093,NA,onrSvyYYuqCcS8f1pFhC9Rb68jm61glc8S31lv4vJYmu,rip daniel crew,1477692509
5,RuYadr7ynEIP6yBn32g8W633t8Z8ogDEz9Yy0eGMZKnhFw,gm6M5k9UZieK-NPA_jndjutOEtTEg4XLTjTnzQqoITM,BR1,/v1/stats/player_history/NA/36703938,NA,AhIgUZSrXhh0QsBX9blkBBa_FEc47VgTzU_t2aHBxh4D,KBM Atlanta,1477692509
